b' -3.68  Get AngleZ: 0.72\r\n'
b'Get AngleX: -36.88  Get AngleY: 87.49  Get AngleZ: 38.49\r\n'
b'Get AngleX: -34.93  Get AngleY: 88.23  Get AngleZ: 39.07\r\n'
b'Get AngleX: -32.48  Get AngleY: 88.87  Get AngleZ: 39.79\r\n'
b'Get AngleX: -31.87  Get AngleY: 88.88  Get AngleZ: 39.97\r\n'
b'Get AngleX: -30.50  Get AngleY: 89.03  Get AngleZ: 40.60\r\n'
b'Get AngleX: -23.47  Get AngleY: 90.88  Get AngleZ: 41.61\r\n'
b'Get AngleX: -20.43  Get AngleY: 91.93  Get AngleZ: 41.83\r\n'
b'Get AngleX: -19.80  Get AngleY: 91.89  Get AngleZ: 41.41\r\n'
b'Get AngleX: -9.21  Get AngleY: 91.87  Get AngleZ: 40.23\r\n'
b'Get AngleX: 0.76  Get AngleY: 93.02  Get AngleZ: 43.68\r\n'
b'Get AngleX: 1.67  Get AngleY: 92.65  Get AngleZ: 43.80\r\n'
b'Get AngleX: 4.65  Get AngleY: 91.36  Get AngleZ: 44.48\r\n'
b'Get AngleX: 6.64  Get AngleY: 90.42  Get AngleZ: 43.87\r\n'
b'Get AngleX: 5.24  Get AngleY: 89.56  Get AngleZ: 43.39\r\n'
b'Get AngleX: -12.82  Get AngleY: 88.66  Get AngleZ: 34.24\r\n'
b'Get AngleX: -11.94  Get AngleY: 89.26  Get AngleZ: 34.09\r\n'
b'Get AngleX: -13.19  Get AngleY: 90.00  Get AngleZ: 34.43\r\n'
b'Get AngleX: -15.58  Get AngleY: 90.46  Get AngleZ: 35.03\r\n'
b'Get AngleX: -18.62  Get AngleY: 90.12  Get AngleZ: 35.34\r\n'
b'Get AngleX: -19.03  Get AngleY: 89.96  Get AngleZ: 35.33\r\n'
b'Get AngleX: -18.90  Get AngleY: 89.72  Get AngleZ: 35.49\r\n'
b'Get AngleX: -17.09  Get AngleY: 90.00  Get AngleZ: 35.70\r\n'
b'Get AngleX: -16.96  Get AngleY: 89.95  Get AngleZ: 35.90\r\n'
b'Get AngleX: -16.18  Get AngleY: 89.94  Get AngleZ: 36.22\r\n'
b'Get AngleX: -15.98  Get AngleY: 89.64  Get AngleZ: 36.78\r\n'
b'Get AngleX: -15.67  Get AngleY: 89.59  Get AngleZ: 36.90\r\n'
b'Get AngleX: -14.59  Get AngleY: 89.03  Get AngleZ: 37.42\r\n'
b'Get AngleX: -13.86  Get AngleY: 88.83  Get AngleZ: 37.78\r\n'
b'Get AngleX: -12.60  Get AngleY: 88.73  Get AngleZ: 38.12\r\n'
b'Get AngleX: -12.56  Get AngleY: 89.04  Get AngleZ: 38.14\r\n'
b'Get AngleX: -12.72  Get AngleY: 89.07  Get AngleZ: 38.16\r\n'
b'Get AngleX: -12.59  Get AngleY: 89.32  Get AngleZ: 38.34\r\n'
b'Get AngleX: -12.77  Get AngleY: 89.44  Get AngleZ: 38.34\r\n'
b'Get AngleX: -12.69  Get AngleY: 89.55  Get AngleZ: 38.36\r\n'
b'Get AngleX: -12.59  Get AngleY: 90.16  Get AngleZ: 38.37\r\n'
b'Get AngleX: -12.35  Get AngleY: 90.27  Get AngleZ: 38.38\r\n'
b'Get AngleX: -11.52  Get AngleY: 91.50  Get AngleZ: 38.21\r\n'
b'Get AngleX: -11.34  Get AngleY: 91.81  Get AngleZ: 38.08\r\n'
b'Get AngleX: -11.32  Get AngleY: 91.92  Get AngleZ: 38.06\r\n'
b'Get AngleX: -11.42  Get AngleY: 92.14  Get AngleZ: 38.04\r\n'
b'Get AngleX: -11.47  Get AngleY: 92.45  Get AngleZ: 37.98\r\n'
b'Get AngleX: -11.33  Get AngleY: 92.75  Get AngleZ: 37.93\r\n'
b'Get AngleX: -10.99  Get AngleY: 92.98  Get AngleZ: 38.24\r\n'
b'Get AngleX: -10.98  Get AngleY: 93.16  Get AngleZ: 38.33\r\n'
b'Get AngleX: -11.01  Get AngleY: 93.46  Get AngleZ: 38.39\r\n'
b'Get AngleX: -11.11  Get AngleY: 93.60  Get AngleZ: 38.41\r\n'
b'Get AngleX: -11.25  Get AngleY: 93.86  Get AngleZ: 38.49\r\n'
b'Get AngleX: -11.49  Get AngleY: 94.33  Get AngleZ: 38.45\r\n'
b'Get AngleX: -11.63  Get AngleY: 94.52  Get AngleZ: 38.36\r\n'
