b'Get AngleX: 20.09  Get AngleY: 73.44  Get AngleZ: -87.25\r\n'
b'Get AngleX: 28.20  Get AngleY: 79.29  Get AngleZ: -95.79\r\n'
b'Get AngleX: 28.30  Get AngleY: 79.22  Get AngleZ: -96.09\r\n'
b'Get AngleX: 29.71  Get AngleY: 80.82  Get AngleZ: -96.09\r\n'
b'Get AngleX: 23.95  Get AngleY: 76.87  Get AngleZ: -91.92\r\n'
b'Get AngleX: 19.15  Get AngleY: 75.23  Get AngleZ: -91.16\r\n'
b'Get AngleX: 17.31  Get AngleY: 75.09  Get AngleZ: -91.88\r\n'
b'Get AngleX: 19.00  Get AngleY: 77.30  Get AngleZ: -92.17\r\n'
b'Get AngleX: 22.90  Get AngleY: 80.18  Get AngleZ: -92.57\r\n'
b'Get AngleX: 25.69  Get AngleY: 81.12  Get AngleZ: -92.56\r\n'
b'Get AngleX: 26.40  Get AngleY: 81.20  Get AngleZ: -92.62\r\n'
b'Get AngleX: 25.60  Get AngleY: 80.20  Get AngleZ: -95.37\r\n'
b'Get AngleX: 25.96  Get AngleY: 79.58  Get AngleZ: -95.66\r\n'
b'Get AngleX: 24.07  Get AngleY: 80.63  Get AngleZ: -96.14\r\n'
b'Get AngleX: 18.46  Get AngleY: 91.68  Get AngleZ: -91.32\r\n'
b'Get AngleX: 18.74  Get AngleY: 92.09  Get AngleZ: -91.04\r\n'
b'Get AngleX: 23.41  Get AngleY: 91.53  Get AngleZ: -89.44\r\n'
b'Get AngleX: 23.98  Get AngleY: 91.63  Get AngleZ: -89.73\r\n'
b'Get AngleX: 25.98  Get AngleY: 89.99  Get AngleZ: -89.93\r\n'
b'Get AngleX: 26.65  Get AngleY: 88.91  Get AngleZ: -89.90\r\n'
b'Get AngleX: 23.72  Get AngleY: 86.96  Get AngleZ: -92.10\r\n'
b'Get AngleX: 23.02  Get AngleY: 85.40  Get AngleZ: -92.18\r\n'
b'Get AngleX: 22.04  Get AngleY: 87.19  Get AngleZ: -92.97\r\n'
b'Get AngleX: 19.03  Get AngleY: 87.59  Get AngleZ: -82.33\r\n'
b'Get AngleX: 17.95  Get AngleY: 87.73  Get AngleZ: -82.41\r\n'
b'Get AngleX: 16.56  Get AngleY: 89.15  Get AngleZ: -83.19\r\n'
b'Get AngleX: 17.98  Get AngleY: 88.70  Get AngleZ: -84.46\r\n'
b'Get AngleX: 18.35  Get AngleY: 87.89  Get AngleZ: -84.81\r\n'
b'Get AngleX: 18.23  Get AngleY: 86.58  Get AngleZ: -86.07\r\n'
b'Get AngleX: 22.57  Get AngleY: 84.89  Get AngleZ: -85.85\r\n'
b'Get AngleX: 23.07  Get AngleY: 81.78  Get AngleZ: -84.95\r\n'
b'Get AngleX: 24.58  Get AngleY: 82.48  Get AngleZ: -79.99\r\n'
b'Get AngleX: 24.45  Get AngleY: 82.55  Get AngleZ: -79.67\r\n'
b'Get AngleX: 22.67  Get AngleY: 83.58  Get AngleZ: -78.52\r\n'
